GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00343,Host-associated,Poultry_Meat,B2
ESCO.0216.00344,Host-associated,Bird_Faecal,B1
ESCO.0216.00345,Host-associated,Mammal_Faecal,A
ESCO.0216.00346,Host-associated,Poultry_Meat,B2
ESCO.0216.00347,Environmental,Water,B1
ESCO.0216.00348,Environmental,Water,B1
ESCO.0216.00349,Host-associated,Mammal_Faecal,B2
ESCO.0216.00350,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00351,Host-associated,Human_Intestinal,B2
ESCO.0216.00352,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00353,Host-associated,Poultry_Meat,B2
ESCO.0216.00355,Host-associated,Human_Intestinal,B2
ESCO.0216.00356,Host-associated,Bird_Faecal,D
ESCO.0216.00357,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00358,Host-associated,Mammal_Faecal,B2
ESCO.0216.00359,Host-associated,Human_Intestinal,D
ESCO.0216.00360,Host-associated,Mammal_Faecal,D
ESCO.0216.00361,Host-associated,Mammal_Faecal,B2
ESCO.0216.00362,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00363,Host-associated,Human_Intestinal,B2
ESCO.0216.00364,Host-associated,Bird_Faecal,B1
ESCO.0216.00365,Host-associated,Human_Faecal,B2
ESCO.0216.00366,Host-associated,Mammal_Faecal,B2
ESCO.0216.00367,Environmental,Water,D
ESCO.0216.00368,Environmental,Water,D
ESCO.0216.00369,Host-associated,Bird_Faecal,E
ESCO.0216.00370,Environmental,Water,B2
ESCO.0216.00371,Host-associated,Human_Intestinal,B2
ESCO.0216.00372,Environmental,Water,A
ESCO.0216.00373,Environmental,Water,B1
ESCO.0216.00374,Host-associated,Human_Faecal,B2
ESCO.0216.00375,Host-associated,Poultry_Meat,B1
ESCO.0216.00376,Host-associated,Human_Intestinal,D
ESCO.0216.00377,Host-associated,Bird_Faecal,B2
ESCO.0216.00378,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00379,Environmental,Water,E
ESCO.0216.00381,Environmental,Water,B1
ESCO.0216.00382,Environmental,Water,B1
ESCO.0216.00383,Environmental,Water,B1
ESCO.0216.00384,Host-associated,Human_Intestinal,B2
ESCO.0216.00385,Host-associated,Bird_Faecal,B1
ESCO.0216.00386,Environmental,Water,B1
ESCO.0216.00387,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00388,Environmental,Water,B1
ESCO.0216.00389,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00391,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00392,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00393,Host-associated,Bird_Faecal,B2
ESCO.0216.00394,Host-associated,Bird_Faecal,B2
ESCO.0216.00395,Environmental,Water,E
ESCO.0216.00396,Environmental,Water,A
ESCO.0216.00397,Host-associated,Bird_Faecal,B1
ESCO.0216.00398,Environmental,Water,B1
ESCO.0216.00399,Environmental,Water,B1
ESCO.0216.00400,Environmental,Water,B1
ESCO.0216.00401,Environmental,Water,A
ESCO.0216.00402,Environmental,Water,B1
ESCO.0216.00404,Host-associated,Mammal_Faecal,B2
ESCO.0216.00405,Host-associated,Mammal_Faecal,B2
ESCO.0216.00406,Host-associated,Mammal_Faecal,B1
ESCO.0216.00407,Environmental,Water,A
ESCO.0216.00408,Host-associated,Poultry_Meat,B1
ESCO.0216.00409,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00410,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00411,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00412,Environmental,Water,A
ESCO.0216.00413,Host-associated,Bird_Faecal,B1
ESCO.0216.00414,Host-associated,Human_Intestinal,A
ESCO.0216.00415,Environmental,Water,B1
ESCO.0216.00416,Environmental,Water,B1
ESCO.0216.00417,Host-associated,Human_Intestinal,A
ESCO.0216.00418,Environmental,Water,B1
ESCO.0216.00419,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00420,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00421,Host-associated,Human_Faecal,B2
